,filename,cell_type,x1,x2,y1,y2,content,img_width,img_height,bb_width,bb_height,conf
5733,photo-63.jpg,-1.0,1329.0,1361.0,2178.0,2214.0,10,3264.0,2448.0,32.0,36.0,100
5975,photo-67.jpg,-1.0,1627.0,1658.0,2173.0,2188.0,1,3264.0,2448.0,31.0,15.0,100
5974,photo-67.jpg,-1.0,1685.0,1717.0,2173.0,2188.0,1,3264.0,2448.0,32.0,15.0,100
5981,photo-67.jpg,-1.0,1276.0,1307.0,2172.0,2186.0,1,3264.0,2448.0,31.0,14.0,100
5978,photo-67.jpg,-1.0,1451.0,1482.0,2172.0,2187.0,1,3264.0,2448.0,31.0,15.0,100
5977,photo-67.jpg,-1.0,1510.0,1541.0,2172.0,2187.0,1,3264.0,2448.0,31.0,15.0,100
5982,photo-67.jpg,-1.0,1218.0,1249.0,2171.0,2187.0,1,3264.0,2448.0,31.0,16.0,100
4966,photo-54.jpg,-1.0,1124.0,1156.0,2170.0,2216.0,BB,3264.0,2448.0,32.0,46.0,100
80,photo-1.jpg,-1.0,1033.0,1048.0,2169.0,2217.0,him.,3264.0,2448.0,15.0,48.0,100
6157,photo-69.jpg,-1.0,1145.0,1151.0,2169.0,2188.0,h,3264.0,2448.0,6.0,19.0,100
5976,photo-67.jpg,-1.0,1567.0,1600.0,2169.0,2192.0,5,3264.0,2448.0,33.0,23.0,100
5980,photo-67.jpg,-1.0,1334.0,1366.0,2168.0,2191.0,S,3264.0,2448.0,32.0,23.0,100
5979,photo-67.jpg,-1.0,1392.0,1425.0,2168.0,2191.0,Fo,3264.0,2448.0,33.0,23.0,100
6176,photo-69.jpg,-1.0,1145.0,1159.0,2162.0,2256.0,horse,3264.0,2448.0,14.0,94.0,100
1696,photo-112.jpg,-1.0,1121.0,1148.0,2159.0,2211.0,CW,3264.0,2448.0,27.0,52.0,100
4540,photo-49.jpg,-1.0,1620.0,1657.0,2158.0,2281.0,SPAGH,3264.0,2448.0,37.0,123.0,100
1885,photo-14.jpg,-1.0,1361.0,1392.0,2157.0,2227.0,MINI,3264.0,2448.0,31.0,70.0,100
4742,photo-52.jpg,-1.0,1353.0,1389.0,2155.0,2223.0,(&e,3264.0,2448.0,36.0,68.0,100
4889,photo-53.jpg,-1.0,1372.0,1430.0,2153.0,2217.0,K,3264.0,2448.0,58.0,64.0,100
8918,photo-99.jpg,-1.0,947.0,963.0,2152.0,2175.0,E,3264.0,2448.0,16.0,23.0,100
291,photo-100.jpg,-1.0,1007.0,1034.0,2148.0,2170.0,c,3264.0,2448.0,27.0,22.0,100
5556,photo-61.jpg,-1.0,1538.0,1569.0,2146.0,2161.0,1,3264.0,2448.0,31.0,15.0,100
5558,photo-61.jpg,-1.0,1425.0,1456.0,2145.0,2161.0,1,3264.0,2448.0,31.0,16.0,100
1675,photo-112.jpg,-1.0,1224.0,1252.0,2144.0,2213.0,BAM,3264.0,2448.0,28.0,69.0,100
5560,photo-61.jpg,-1.0,1312.0,1344.0,2142.0,2164.0,3,3264.0,2448.0,32.0,22.0,100
5562,photo-61.jpg,-1.0,1200.0,1231.0,2141.0,2163.0,2,3264.0,2448.0,31.0,22.0,100
5561,photo-61.jpg,-1.0,1256.0,1287.0,2141.0,2164.0,5,3264.0,2448.0,31.0,23.0,100
6622,photo-74.jpg,-1.0,1296.0,1330.0,2141.0,2245.0,FIRST,3264.0,2448.0,34.0,104.0,100
5559,photo-61.jpg,-1.0,1369.0,1400.0,2141.0,2165.0,6,3264.0,2448.0,31.0,24.0,100
5557,photo-61.jpg,-1.0,1482.0,1512.0,2141.0,2165.0,4,3264.0,2448.0,30.0,24.0,100
4570,photo-49.jpg,-1.0,1465.0,1501.0,2140.0,2279.0,CRSA,3264.0,2448.0,36.0,139.0,100
5817,photo-64.jpg,-1.0,1212.0,1478.0,2138.0,2146.0,!,3264.0,2448.0,266.0,8.0,100
4557,photo-49.jpg,-1.0,1516.0,1553.0,2138.0,2280.0,FJ2.480,3264.0,2448.0,37.0,142.0,100
6611,photo-74.jpg,-1.0,1393.0,1429.0,2137.0,2243.0,DIFAR,3264.0,2448.0,36.0,106.0,100
1829,photo-113.jpg,-1.0,1142.0,1169.0,2135.0,2186.0,CW,3264.0,2448.0,27.0,51.0,100
3632,photo-38.jpg,-1.0,1303.0,1315.0,2135.0,2216.0,ociay,3264.0,2448.0,12.0,81.0,100
1318,photo-11.jpg,-1.0,1100.0,1319.0,2134.0,2137.0,1,3264.0,2448.0,219.0,3.0,100
4603,photo-49.jpg,-1.0,1209.0,1247.0,2134.0,2277.0,Raceve,3264.0,2448.0,38.0,143.0,100
1389,photo-110.jpg,-1.0,1253.0,1282.0,2132.0,2201.0,BAM,3264.0,2448.0,29.0,69.0,100
4032,photo-42.jpg,-1.0,1314.0,1347.0,2132.0,2210.0,Code,3264.0,2448.0,33.0,78.0,100
8212,photo-98.jpg,-1.0,2427.0,2457.0,2132.0,2210.0,PIPE,3264.0,2448.0,30.0,78.0,100
6620,photo-74.jpg,-1.0,1344.0,1379.0,2131.0,2246.0,ALESS,3264.0,2448.0,35.0,115.0,100
4535,photo-49.jpg,-1.0,1671.0,1707.0,2131.0,2280.0,PEASLIN,3264.0,2448.0,36.0,149.0,100
6637,photo-74.jpg,-1.0,1246.0,1281.0,2129.0,2246.0,PERFE,3264.0,2448.0,35.0,117.0,100
81,photo-1.jpg,-1.0,1000.0,1033.0,2128.0,2216.0,2NDS,3264.0,2448.0,33.0,88.0,100
5837,photo-65.jpg,-1.0,1321.0,1352.0,2128.0,2142.0,1,3264.0,2448.0,31.0,14.0,100
8241,photo-98.jpg,-1.0,2258.0,2287.0,2128.0,2205.0,PADO,3264.0,2448.0,29.0,77.0,100
456,photo-101.jpg,-1.0,947.0,969.0,2127.0,2146.0,B,3264.0,2448.0,22.0,19.0,100
5186,photo-56.jpg,-1.0,1040.0,1074.0,2127.0,2188.0,05g,3264.0,2448.0,34.0,61.0,100
4745,photo-52.jpg,-1.0,1156.0,1193.0,2127.0,2225.0,CEeas,3264.0,2448.0,37.0,98.0,100
7627,photo-9.jpg,-1.0,1200.0,1379.0,2127.0,2129.0,1,3264.0,2448.0,179.0,2.0,100
5834,photo-65.jpg,-1.0,1499.0,1529.0,2127.0,2141.0,1,3264.0,2448.0,30.0,14.0,100
6658,photo-74.jpg,-1.0,1149.0,1184.0,2125.0,2248.0,MPLOY,3264.0,2448.0,35.0,123.0,100
4690,photo-51.jpg,-1.0,1153.0,1187.0,2125.0,2266.0,BACEVE,3264.0,2448.0,34.0,141.0,100
6650,photo-74.jpg,-1.0,1198.0,1233.0,2125.0,2249.0,TOSCH,3264.0,2448.0,35.0,124.0,100
5832,photo-65.jpg,-1.0,1629.0,1641.0,2125.0,2143.0,=,3264.0,2448.0,12.0,18.0,100
8469,photo-98.jpg,-1.0,1187.0,1214.0,2124.0,2191.0,EO7.,3264.0,2448.0,27.0,67.0,100
5838,photo-65.jpg,-1.0,1261.0,1294.0,2124.0,2146.0,3,3264.0,2448.0,33.0,22.0,100
5836,photo-65.jpg,-1.0,1379.0,1412.0,2124.0,2146.0,3,3264.0,2448.0,33.0,22.0,100
6603,photo-74.jpg,-1.0,1442.0,1477.0,2124.0,2243.0,GLOBL,3264.0,2448.0,35.0,119.0,100
1693,photo-112.jpg,-1.0,1156.0,1183.0,2123.0,2212.0,A YAM,3264.0,2448.0,27.0,89.0,100
4581,photo-49.jpg,-1.0,1362.0,1398.0,2123.0,2279.0,RBARtSCT,3264.0,2448.0,36.0,156.0,100
5835,photo-65.jpg,-1.0,1439.0,1471.0,2123.0,2147.0,6,3264.0,2448.0,32.0,24.0,100
4598,photo-49.jpg,-1.0,1311.0,1348.0,2122.0,2277.0,RaRtsec,3264.0,2448.0,37.0,155.0,100
6599,photo-74.jpg,-1.0,1491.0,1525.0,2122.0,2242.0,NEPTU,3264.0,2448.0,34.0,120.0,100
5833,photo-65.jpg,-1.0,1557.0,1588.0,2122.0,2146.0,4,3264.0,2448.0,31.0,24.0,100
4369,photo-46.jpg,-1.0,1316.0,1349.0,2121.0,2244.0,012079,3264.0,2448.0,33.0,123.0,100
4361,photo-46.jpg,-1.0,1357.0,1391.0,2121.0,2245.0,080290,3264.0,2448.0,34.0,124.0,100
4347,photo-46.jpg,-1.0,1440.0,1473.0,2121.0,2244.0,088307,3264.0,2448.0,33.0,123.0,100
4340,photo-46.jpg,-1.0,1481.0,1520.0,2121.0,2243.0,027985,3264.0,2448.0,39.0,122.0,100
4327,photo-46.jpg,-1.0,1564.0,1597.0,2121.0,2243.0,072821,3264.0,2448.0,33.0,122.0,100
4601,photo-49.jpg,-1.0,1260.0,1297.0,2120.0,2278.0,BAR *S0A,3264.0,2448.0,37.0,158.0,100
4356,photo-46.jpg,-1.0,1399.0,1432.0,2120.0,2244.0,085528,3264.0,2448.0,33.0,124.0,100
4334,photo-46.jpg,-1.0,1523.0,1556.0,2120.0,2244.0,050915,3264.0,2448.0,33.0,124.0,100
4323,photo-46.jpg,-1.0,1605.0,1639.0,2120.0,2243.0,081441,3264.0,2448.0,34.0,123.0,100
4317,photo-46.jpg,-1.0,1647.0,1679.0,2120.0,2243.0,088516,3264.0,2448.0,32.0,123.0,100
8684,photo-99.jpg,-1.0,1878.0,1923.0,2120.0,2179.0,pxg,3264.0,2448.0,45.0,59.0,100
6158,photo-69.jpg,-1.0,1145.0,1151.0,2119.0,2137.0,1,3264.0,2448.0,6.0,18.0,100
5304,photo-59.jpg,-1.0,1195.0,1226.0,2119.0,2133.0,1,3264.0,2448.0,31.0,14.0,100
1785,photo-113.jpg,-1.0,1275.0,1303.0,2119.0,2186.0,BAM,3264.0,2448.0,28.0,67.0,100
615,photo-104.jpg,-1.0,1481.0,1509.0,2119.0,2166.0,MF,3264.0,2448.0,28.0,47.0,100
5431,photo-60.jpg,-1.0,1547.0,1578.0,2119.0,2133.0,1,3264.0,2448.0,31.0,14.0,100
1711,photo-112.jpg,-1.0,1086.0,1114.0,2118.0,2211.0,THICK,3264.0,2448.0,28.0,93.0,100
5305,photo-59.jpg,-1.0,1151.0,1163.0,2118.0,2134.0,E,3264.0,2448.0,12.0,16.0,100
5302,photo-59.jpg,-1.0,1309.0,1339.0,2118.0,2133.0,1,3264.0,2448.0,30.0,15.0,100
5299,photo-59.jpg,-1.0,1480.0,1511.0,2118.0,2132.0,1,3264.0,2448.0,31.0,14.0,100
5432,photo-60.jpg,-1.0,1490.0,1521.0,2118.0,2133.0,1,3264.0,2448.0,31.0,15.0,100
5298,photo-59.jpg,-1.0,1537.0,1568.0,2118.0,2132.0,1,3264.0,2448.0,31.0,14.0,100
5296,photo-59.jpg,-1.0,1651.0,1682.0,2118.0,2132.0,1,3264.0,2448.0,31.0,14.0,100
4528,photo-49.jpg,-1.0,1722.0,1758.0,2118.0,2282.0,PEARQL H,3264.0,2448.0,36.0,164.0,100
8693,photo-99.jpg,-1.0,1807.0,1836.0,2118.0,2176.0,LI6,3264.0,2448.0,29.0,58.0,100
1628,photo-112.jpg,-1.0,1502.0,1530.0,2117.0,2219.0,YEAST,3264.0,2448.0,28.0,102.0,100
5297,photo-59.jpg,-1.0,1594.0,1625.0,2117.0,2133.0,1,3264.0,2448.0,31.0,16.0,100
4694,photo-51.jpg,-1.0,1104.0,1139.0,2116.0,2266.0,RICJASR,3264.0,2448.0,35.0,150.0,100
5436,photo-60.jpg,-1.0,1261.0,1292.0,2116.0,2131.0,1,3264.0,2448.0,31.0,15.0,100
3740,photo-39.jpg,-1.0,1278.0,1293.0,2116.0,2197.0,CUUC,3264.0,2448.0,15.0,81.0,100
1641,photo-112.jpg,-1.0,1398.0,1426.0,2116.0,2217.0,GLOVE,3264.0,2448.0,28.0,101.0,100
4542,photo-49.jpg,-1.0,1569.0,1604.0,2116.0,2280.0,BEAAXH,3264.0,2448.0,35.0,164.0,100
5295,photo-59.jpg,-1.0,1721.0,1734.0,2116.0,2134.0,-,3264.0,2448.0,13.0,18.0,100
5294,photo-59.jpg,-1.0,1779.0,1791.0,2116.0,2134.0,=,3264.0,2448.0,12.0,18.0,100
5303,photo-59.jpg,-1.0,1252.0,1283.0,2115.0,2137.0,5,3264.0,2448.0,31.0,22.0,100
4170,photo-44.jpg,-1.0,1470.0,1503.0,2115.0,2239.0,030051,3264.0,2448.0,33.0,124.0,100
8708,photo-99.jpg,-1.0,1723.0,1752.0,2115.0,2173.0,LI3,3264.0,2448.0,29.0,58.0,100
7053,photo-79.jpg,-1.0,1059.0,1066.0,2114.0,2147.0,"IC,",3264.0,2448.0,7.0,33.0,100
5301,photo-59.jpg,-1.0,1365.0,1397.0,2114.0,2137.0,3,3264.0,2448.0,32.0,23.0,100
5657,photo-62.jpg,-1.0,1435.0,1465.0,2114.0,2128.0,1,3264.0,2448.0,30.0,14.0,100
5656,photo-62.jpg,-1.0,1491.0,1522.0,2114.0,2129.0,1,3264.0,2448.0,31.0,15.0,100
693,photo-104.jpg,-1.0,1164.0,1192.0,2113.0,2168.0,CW,3264.0,2448.0,28.0,55.0,100
5434,photo-60.jpg,-1.0,1374.0,1406.0,2113.0,2135.0,2,3264.0,2448.0,32.0,22.0,100
4184,photo-44.jpg,-1.0,1387.0,1419.0,2113.0,2238.0,062527,3264.0,2448.0,32.0,125.0,100
5300,photo-59.jpg,-1.0,1422.0,1453.0,2113.0,2137.0,6,3264.0,2448.0,31.0,24.0,100
4179,photo-44.jpg,-1.0,1428.0,1461.0,2113.0,2239.0,076209,3264.0,2448.0,33.0,126.0,100
5433,photo-60.jpg,-1.0,1432.0,1464.0,2113.0,2136.0,s,3264.0,2448.0,32.0,23.0,100
1634,photo-112.jpg,-1.0,1468.0,1495.0,2113.0,2218.0,MLAND,3264.0,2448.0,27.0,105.0,100
6591,photo-74.jpg,-1.0,1086.0,1109.0,2112.0,2234.0,DrANU,3264.0,2448.0,23.0,122.0,100
5438,photo-60.jpg,-1.0,1147.0,1178.0,2112.0,2134.0,2,3264.0,2448.0,31.0,22.0,100
4688,photo-51.jpg,-1.0,1201.0,1236.0,2112.0,2266.0,CORCOR,3264.0,2448.0,35.0,154.0,100
5437,photo-60.jpg,-1.0,1204.0,1236.0,2112.0,2135.0,5,3264.0,2448.0,32.0,23.0,100
5661,photo-62.jpg,-1.0,1206.0,1237.0,2112.0,2127.0,1,3264.0,2448.0,31.0,15.0,100
4198,photo-44.jpg,-1.0,1304.0,1336.0,2112.0,2237.0,017395,3264.0,2448.0,32.0,125.0,100
651,photo-104.jpg,-1.0,1340.0,1368.0,2112.0,2166.0,CW,3264.0,2448.0,28.0,54.0,100
4195,photo-44.jpg,-1.0,1345.0,1378.0,2112.0,2238.0,052278,3264.0,2448.0,33.0,126.0,100
1578,photo-111.jpg,-1.0,1099.0,1125.0,2111.0,2161.0,CW,3264.0,2448.0,26.0,50.0,100
5655,photo-62.jpg,-1.0,1547.0,1579.0,2111.0,2133.0,5,3264.0,2448.0,32.0,22.0,100
5654,photo-62.jpg,-1.0,1604.0,1636.0,2111.0,2133.0,3,3264.0,2448.0,32.0,22.0,100
5653,photo-62.jpg,-1.0,1661.0,1694.0,2111.0,2134.0,3,3264.0,2448.0,33.0,23.0,100
5652,photo-62.jpg,-1.0,1718.0,1751.0,2111.0,2134.0,2,3264.0,2448.0,33.0,23.0,100
5651,photo-62.jpg,-1.0,1776.0,1807.0,2111.0,2136.0,4,3264.0,2448.0,31.0,25.0,100
292,photo-100.jpg,-1.0,1007.0,1012.0,2110.0,2130.0,i,3264.0,2448.0,5.0,20.0,100
1508,photo-111.jpg,-1.0,1297.0,1324.0,2110.0,2160.0,CW,3264.0,2448.0,27.0,50.0,100
5658,photo-62.jpg,-1.0,1377.0,1409.0,2110.0,2132.0,5,3264.0,2448.0,32.0,22.0,100
8247,photo-98.jpg,-1.0,2173.0,2203.0,2110.0,2205.0,MESE4,3264.0,2448.0,30.0,95.0,100
1176,photo-108.jpg,-1.0,1066.0,1094.0,2109.0,2161.0,CW,3264.0,2448.0,28.0,52.0,100
5660,photo-62.jpg,-1.0,1263.0,1295.0,2109.0,2131.0,E,3264.0,2448.0,32.0,22.0,100
5659,photo-62.jpg,-1.0,1321.0,1351.0,2108.0,2132.0,6,3264.0,2448.0,30.0,24.0,100
3624,photo-38.jpg,-1.0,1350.0,1384.0,2108.0,2236.0,013660,3264.0,2448.0,34.0,128.0,100
5936,photo-66.jpg,-1.0,1507.0,1537.0,2108.0,2123.0,1,3264.0,2448.0,30.0,15.0,100
1420,photo-110.jpg,-1.0,1147.0,1176.0,2107.0,2203.0,THICK,3264.0,2448.0,29.0,96.0,100
3615,photo-38.jpg,-1.0,1393.0,1426.0,2107.0,2235.0,015234,3264.0,2448.0,33.0,128.0,100
8138,photo-97.jpg,-1.0,1024.0,1053.0,2106.0,2217.0,BO7217,3264.0,2448.0,29.0,111.0,100
4634,photo-49.jpg,-1.0,1157.0,1196.0,2106.0,2278.0,C&CHneq,3264.0,2448.0,39.0,172.0,100
1676,photo-112.jpg,-1.0,1190.0,1218.0,2106.0,2212.0,SLICED,3264.0,2448.0,28.0,106.0,100
3610,photo-38.jpg,-1.0,1435.0,1468.0,2106.0,2234.0,015235,3264.0,2448.0,33.0,128.0,100
3601,photo-38.jpg,-1.0,1477.0,1511.0,2106.0,2234.0,029428,3264.0,2448.0,34.0,128.0,100
3597,photo-38.jpg,-1.0,1519.0,1553.0,2106.0,2233.0,029802,3264.0,2448.0,34.0,127.0,100
7367,photo-83.jpg,-1.0,1831.0,1843.0,2106.0,2119.0,:,3264.0,2448.0,12.0,13.0,100
8121,photo-97.jpg,-1.0,1064.0,1094.0,2105.0,2217.0,BO7220,3264.0,2448.0,30.0,112.0,100
4020,photo-42.jpg,-1.0,1380.0,1413.0,2104.0,2226.0,017395,3264.0,2448.0,33.0,122.0,100
3590,photo-38.jpg,-1.0,1562.0,1596.0,2104.0,2232.0,062289,3264.0,2448.0,34.0,128.0,100
3585,photo-38.jpg,-1.0,1605.0,1639.0,2104.0,2231.0,075194,3264.0,2448.0,34.0,127.0,100
5435,photo-60.jpg,-1.0,1318.0,1349.0,2103.0,2139.0,10,3264.0,2448.0,31.0,36.0,100
4016,photo-42.jpg,-1.0,1421.0,1455.0,2103.0,2225.0,035986,3264.0,2448.0,34.0,122.0,100
5937,photo-66.jpg,-1.0,1452.0,1482.0,2103.0,2126.0,4,3264.0,2448.0,30.0,23.0,100
3580,photo-38.jpg,-1.0,1648.0,1681.0,2103.0,2231.0,076769,3264.0,2448.0,33.0,128.0,100
561,photo-103.jpg,-1.0,983.0,990.0,2102.0,2125.0,7,3264.0,2448.0,7.0,23.0,100
3574,photo-38.jpg,-1.0,1690.0,1728.0,2102.0,2230.0,076984,3264.0,2448.0,38.0,128.0,100
3560,photo-38.jpg,-1.0,1775.0,1809.0,2102.0,2229.0,089833,3264.0,2448.0,34.0,127.0,100
3558,photo-38.jpg,-1.0,1817.0,1853.0,2102.0,2228.0,092512,3264.0,2448.0,36.0,126.0,100
5941,photo-66.jpg,-1.0,1231.0,1261.0,2101.0,2116.0,1,3264.0,2448.0,30.0,15.0,100
5940,photo-66.jpg,-1.0,1298.0,1310.0,2101.0,2118.0,E,3264.0,2448.0,12.0,17.0,100
5939,photo-66.jpg,-1.0,1341.0,1372.0,2101.0,2122.0,2,3264.0,2448.0,31.0,21.0,100
5938,photo-66.jpg,-1.0,1397.0,1427.0,2101.0,2124.0,6,3264.0,2448.0,30.0,23.0,100
4011,photo-42.jpg,-1.0,1461.0,1496.0,2101.0,2224.0,062825,3264.0,2448.0,35.0,123.0,100
3569,photo-38.jpg,-1.0,1733.0,1767.0,2101.0,2229.0,079675,3264.0,2448.0,34.0,128.0,100
1818,photo-113.jpg,-1.0,1175.0,1202.0,2100.0,2186.0,AYAM,3264.0,2448.0,27.0,86.0,100
4003,photo-42.jpg,-1.0,1503.0,1537.0,2100.0,2222.0,076400,3264.0,2448.0,34.0,122.0,100
3989,photo-42.jpg,-1.0,1544.0,1579.0,2100.0,2220.0,080203,3264.0,2448.0,35.0,120.0,100
8206,photo-98.jpg,-1.0,2470.0,2501.0,2100.0,2212.0,PIRAL8,3264.0,2448.0,31.0,112.0,100
1336,photo-110.jpg,-1.0,1500.0,1529.0,2099.0,2202.0,GLOVE,3264.0,2448.0,29.0,103.0,100
4713,photo-52.jpg,-1.0,1549.0,1585.0,2098.0,2220.0,BeSsesU,3264.0,2448.0,36.0,122.0,100
1660,photo-112.jpg,-1.0,1329.0,1356.0,2097.0,2215.0,CLOVES,3264.0,2448.0,27.0,118.0,100
1647,photo-112.jpg,-1.0,1363.0,1391.0,2097.0,2216.0,cLOvEs,3264.0,2448.0,28.0,119.0,100
3988,photo-42.jpg,-1.0,1585.0,1620.0,2097.0,2219.0,212336,3264.0,2448.0,35.0,122.0,100
3987,photo-42.jpg,-1.0,1627.0,1661.0,2097.0,2217.0,030051,3264.0,2448.0,34.0,120.0,100
5942,photo-66.jpg,-1.0,1175.0,1206.0,2096.0,2119.0,5,3264.0,2448.0,31.0,23.0,100
3519,photo-37.jpg,-1.0,1256.0,1292.0,2095.0,2176.0,Code,3264.0,2448.0,36.0,81.0,100
8234,photo-98.jpg,-1.0,2300.0,2330.0,2095.0,2206.0,PE7900,3264.0,2448.0,30.0,111.0,100
8219,photo-98.jpg,-1.0,2385.0,2415.0,2095.0,2209.0,PICURO,3264.0,2448.0,30.0,114.0,100
1564,photo-111.jpg,-1.0,1198.0,1224.0,2094.0,2160.0,BAM,3264.0,2448.0,26.0,66.0,100
1327,photo-110.jpg,-1.0,1571.0,1600.0,2094.0,2202.0,MLAND,3264.0,2448.0,29.0,108.0,100
1395,photo-110.jpg,-1.0,1218.0,1246.0,2093.0,2202.0,SLICED,3264.0,2448.0,28.0,109.0,100
7054,photo-79.jpg,-1.0,1059.0,1065.0,2092.0,2110.0,1,3264.0,2448.0,6.0,18.0,100
7185,photo-80.jpg,-1.0,1139.0,1173.0,2090.0,2190.0,ANTO,3264.0,2448.0,34.0,100.0,100
6159,photo-69.jpg,-1.0,1145.0,1151.0,2090.0,2113.0,I8,3264.0,2448.0,6.0,23.0,100
7177,photo-80.jpg,-1.0,1187.0,1221.0,2090.0,2189.0,ANTO,3264.0,2448.0,34.0,99.0,100
6687,photo-75.jpg,-1.0,1497.0,1532.0,2089.0,2159.0,ZINI,3264.0,2448.0,35.0,70.0,100
8294,photo-98.jpg,-1.0,1881.0,1910.0,2089.0,2199.0,GRMIFI,3264.0,2448.0,29.0,110.0,100
8284,photo-98.jpg,-1.0,1922.0,1951.0,2089.0,2199.0,SP3311,3264.0,2448.0,29.0,110.0,100
7867,photo-93.jpg,-1.0,1099.0,1129.0,2088.0,2197.0,BRPA38,3264.0,2448.0,30.0,109.0,100
8102,photo-97.jpg,-1.0,1146.0,1175.0,2088.0,2216.0,LA36006,3264.0,2448.0,29.0,128.0,100
3714,photo-39.jpg,-1.0,1329.0,1362.0,2088.0,2216.0,076209,3264.0,2448.0,33.0,128.0,100
110,photo-10.jpg,-1.0,1131.0,1348.0,2087.0,2105.0,(,3264.0,2448.0,217.0,18.0,100
3713,photo-39.jpg,-1.0,1371.0,1403.0,2087.0,2214.0,030051,3264.0,2448.0,32.0,127.0,100
4527,photo-49.jpg,-1.0,1752.0,1764.0,2087.0,2100.0,-,3264.0,2448.0,12.0,13.0,100
7830,photo-93.jpg,-1.0,1179.0,1209.0,2086.0,2193.0,PE7I00,3264.0,2448.0,30.0,107.0,100
6063,photo-68.jpg,-1.0,1317.0,1349.0,2086.0,2109.0,5,3264.0,2448.0,32.0,23.0,100
3707,photo-39.jpg,-1.0,1413.0,1446.0,2086.0,2214.0,037639,3264.0,2448.0,33.0,128.0,100
7136,photo-80.jpg,-1.0,1430.0,1465.0,2086.0,2187.0,GOLD,3264.0,2448.0,35.0,101.0,100
6061,photo-68.jpg,-1.0,1434.0,1467.0,2086.0,2105.0,1,3264.0,2448.0,33.0,19.0,100
